ID,VS.5mm.L_GainAntGrCtrlAnt,VS.5mm.L_SmGainAntGrCtrlAnt,VS.5mm.L_LgGainAntGrCtrlAnt,VS.5mm.R_GainAntGrCtrlAnt,VS.5mm.R_SmGainAntGrCtrlAnt,VS.5mm.R_LgGainAntGrCtrlAnt,VS.10mm.L_GainAntGrCtrlAnt,VS.10mm.L_SmGainAntGrCtrlAnt,VS.10mm.L_LgGainAntGrCtrlAnt,VS.10mm.R_GainAntGrCtrlAnt,VS.10mm.R_SmGainAntGrCtrlAnt,VS.10mm.R_LgGainAntGrCtrlAnt
DMHDS1118,-0.151026,-0.26059,-0.041462,-0.096573,-0.078256,-0.11489,-0.038252,-0.165532,0.089029,0.02099,-0.06837,0.11035
DMHDS0417,0.656106,0.673847,0.638365,0.575291,0.468301,0.682281,0.59512,0.422002,0.768239,0.622392,0.521878,0.722905
DMHDS1122,-0.164138,-0.167553,-0.160723,-0.102942,-0.104705,-0.101179,-0.059477,-0.160635,0.041682,-0.007259,-0.009506,-0.005011
DMHDS0376,1.056112,0.747007,1.365217,0.79559,0.66411,0.92707,0.990378,0.707746,1.27301,0.954882,0.777565,1.132199
DMHDS0270,0.127551,-0.001946,0.257048,0.270676,0.37475,0.166603,0.189151,0.094282,0.28402,0.22503,0.214716,0.235343
DMHDS0516,-0.119859,-0.413064,0.173346,-0.126762,-0.200258,-0.053265,-0.236437,-0.453137,-0.019737,-0.124335,-0.236888,-0.011781
DMHDS0333,0.225307,0.208706,0.241908,0.401502,0.30127,0.501734,0.307609,0.180055,0.435163,0.23852,0.185921,0.291118
DMHDS0393,1.180739,1.125595,1.235883,0.612347,0.43972,0.784974,0.685063,0.59034,0.779785,0.364228,0.152394,0.576062
DMHDS0266,0.515729,0.600811,0.430647,-0.046567,-0.07318,-0.019954,0.185966,0.242031,0.129901,-0.061467,-0.060879,-0.062056
DMHDS0230,0.226567,0.047214,0.405919,0.144784,-0.073515,0.363083,0.210868,0.111586,0.310151,0.169339,0.02283,0.315848
DMHDS0297,0.28364,0.200454,0.366825,0.081077,0.0589,0.103254,0.215173,0.196382,0.233965,0.156763,0.108006,0.20552
DMHDS0250,0.166489,0.163149,0.169828,0.315288,0.281149,0.349428,0.097575,0.018726,0.176424,0.219082,0.187503,0.250661
DMHDS0362,-0.011195,-0.133218,0.110828,0.236138,0.124319,0.347957,-0.067828,-0.165867,0.030211,0.099901,-0.013572,0.213374
DMHDS0371,0.261282,-0.075487,0.59805,0.053021,0.028602,0.07744,0.149037,-0.04581,0.343884,0.033473,0.037586,0.029359
DMHDS0308,-0.077018,-0.150778,-0.003257,-0.081763,-0.152333,-0.011192,-0.042494,-0.081323,-0.003665,-0.013562,-0.053739,0.026614
DMHDS0224,0.136045,0.020683,0.251408,0.221264,0.071872,0.370656,0.243564,0.080207,0.406921,0.276901,0.041377,0.512424
DMHDS0213,-0.130251,-0.201912,-0.05859,-0.181043,-0.168413,-0.193672,-0.195223,-0.085373,-0.305072,-0.136061,0.040632,-0.312754
DMHDS0225,-0.055585,-0.382017,0.270847,-0.171063,-0.311177,-0.030949,-0.017274,-0.271381,0.236833,0.170219,0.010008,0.33043
DMHDS0210,-0.025876,-0.066176,0.014424,0.22977,0.175158,0.284382,-0.000486,-0.016203,0.015231,0.125771,0.11901,0.132533
DMHDS0247,0.481114,0.535276,0.426953,0.15714,-0.011064,0.325345,0.444023,0.438625,0.449421,0.127139,-0.094976,0.349255
DMHDS0338,0.260435,0.074065,0.446805,0.326399,0.125322,0.527477,0.23448,-0.028778,0.497737,0.328162,0.110874,0.545449
DMHDS0234,0.396443,0.418177,0.374709,0.33979,0.233713,0.445867,0.269103,0.184552,0.353653,0.314205,0.210352,0.418059
DMHDS1223,-0.399421,-0.804764,0.005921,-0.112076,-0.362508,0.138357,0.092801,-0.195141,0.380744,0.217583,-0.022571,0.457738
DMHDS0384,-0.002173,0.003419,-0.007764,0.27882,0.373657,0.183984,0.071316,-0.038514,0.181147,-0.035451,0.026384,-0.097285
DMHDS0206,0.089731,-0.039077,0.218538,-0.062207,-0.286355,0.161941,0.028991,-0.143202,0.201184,0.024041,-0.212918,0.260999
DMHDS0336,-0.196533,-0.008434,-0.384633,0.054406,0.185817,-0.077006,-0.162065,-0.004394,-0.319736,0.060402,0.232734,-0.111929
DMHDS0375,0.527747,0.507377,0.548117,0.482446,0.396835,0.568056,0.450258,0.336844,0.563673,0.422503,0.372198,0.472808
DMHDS0318,0.070122,0.067874,0.072369,0.066128,0.014258,0.117998,0.036012,-0.015422,0.087445,0.105793,0.07786,0.133726
DMHDS0396,0.392824,0.079898,0.705749,0.411694,0.055532,0.767855,0.247826,-0.047793,0.543445,0.305964,0.080939,0.530989
DMHDS0256,0.103755,0.142245,0.065264,-0.071515,0.026428,-0.169457,0.115322,0.125135,0.10551,-0.052267,-0.047424,-0.057111
DMHDS0325,0.169104,0.003598,0.33461,0.113234,-0.046845,0.273312,0.046462,-0.098468,0.191393,-0.013986,-0.102986,0.075014
DMHDS0233,0.293598,0.261261,0.325935,0.398223,0.298296,0.498151,0.14663,0.112706,0.180554,0.173143,0.086441,0.259845
DMHDS0253,-0.09811,-0.227852,0.031632,-0.540896,-0.639045,-0.442747,-0.102385,-0.19139,-0.01338,-0.275351,-0.398019,-0.152684
DMHDS0245,0.062457,-0.117995,0.242908,0.114597,-0.028714,0.257907,0.116074,0.041892,0.190256,0.22112,0.133455,0.308784
DMHDS0323,0.226403,0.248976,0.20383,0.289624,0.214601,0.364648,0.291973,0.274442,0.309504,0.35479,0.248972,0.460608
DMHDS0348,0.283026,0.408441,0.157611,0.021545,0.200004,-0.156913,0.143697,0.149368,0.138026,0.154471,0.229253,0.07969
DMHDS0365,0.284963,0.314189,0.255738,0.075258,0.012079,0.138437,0.283446,0.388201,0.178691,0.162365,0.120113,0.204616
DMHDS0335,-0.016861,0.084533,-0.118255,0.105191,0.04088,0.169501,0.008879,0.071052,-0.053293,0.089072,0.096735,0.08141
DMHDS0328,0.21791,-0.044516,0.480335,0.193115,0.063183,0.323047,0.248641,0.10671,0.390573,0.260739,0.101274,0.420204
DMHDS0326,0.450539,0.313573,0.587505,0.367187,0.227196,0.507179,0.301827,0.200434,0.403219,0.317463,0.219213,0.415713
DMHDS0215,0.437483,0.26466,0.610306,-0.07178,-0.147432,0.003871,0.346834,0.192602,0.501065,0.003847,-0.066068,0.073762
DMHDS0889,0.130771,0.06378,0.197763,0.175546,0.098792,0.2523,0.119251,0.035133,0.20337,0.133575,0.069535,0.197615
DMHDS0214,0.209811,0.068851,0.350771,0.408492,0.38518,0.431805,0.087681,0.047407,0.127956,0.255333,0.233468,0.277197
DMHDS0267,0.265455,0.186339,0.344572,0.35886,0.341066,0.376654,0.256461,0.251708,0.261213,0.251864,0.211606,0.292123
DMHDS0310,0.224727,0.173032,0.276422,0.219205,0.242189,0.19622,-0.084245,-0.067077,-0.101412,0.040367,0.080511,0.000223
DMHDS0249,0.230413,0.07283,0.387997,0.015797,-0.186012,0.217606,0.14196,0.037169,0.246751,-0.020783,-0.158499,0.116933
DMHDS0240,0.148801,0.128159,0.169442,0.236241,0.258759,0.213724,0.190375,0.167299,0.213452,0.230615,0.248016,0.213214
DMHDS0968,0.112873,0.107659,0.118087,-0.019689,0.055147,-0.094525,-0.019368,-0.02524,-0.013496,0.015839,0.094606,-0.062928
DMHDS0284,0.069388,0.024351,0.114425,0.242075,0.219246,0.264903,0.170922,0.094556,0.247288,0.349517,0.307677,0.391358
DMHDS0291,0.411487,0.406816,0.416158,0.202544,0.057442,0.347646,0.202696,0.196474,0.208919,0.107973,0.011064,0.204881
DMHDS0350,0.344291,0.123544,0.565039,0.062513,-0.117604,0.24263,0.392182,0.206657,0.577706,0.189541,0.015681,0.363402
DMHDS0345,-0.071944,-0.290079,0.146191,0.236792,0.036329,0.437255,0.105076,-0.116248,0.3264,0.030231,-0.113081,0.173544
DMHDS0343,0.030338,-0.145185,0.20586,-0.052071,-0.179807,0.075664,0.228764,0.116086,0.341443,0.093732,-0.035446,0.22291
DMHDS0332,0.053226,-0.006534,0.112985,0.292626,0.30274,0.282512,0.066663,0.030609,0.102716,0.176572,0.159588,0.193556
DMHDS0309,-0.089916,-0.161586,-0.018247,-0.094218,-0.176651,-0.011785,0.015652,-0.066941,0.098245,0.043563,0.005671,0.081455
DMHDS0386,0.163624,0.218531,0.108716,-0.045787,0.019506,-0.11108,0.078031,0.08697,0.069092,0.030014,0.053217,0.006811
DMHDS0339,-0.050451,-0.05174,-0.049163,-0.122992,-0.104748,-0.141235,0.046375,0.102253,-0.009503,0.014402,0.021479,0.007325
DMHDS0347,0.167426,0.301244,0.033608,0.141663,0.286959,-0.003633,0.0889,0.175835,0.001964,0.08762,0.119289,0.05595
DMHDS0341,0.35393,0.065736,0.642124,0.431964,0.082351,0.781577,0.368202,0.14815,0.588255,0.314957,0.064335,0.56558
DMHDS0232,0.134057,-0.072235,0.340349,0.29678,-0.009149,0.602709,0.030471,-0.126556,0.187498,0.11281,-0.053269,0.278888
DMHDS0254,0.269122,0.261461,0.276783,0.324682,0.250729,0.398635,0.22942,0.222557,0.236284,0.315059,0.266118,0.364
DMHDS0409,0.085097,0.029166,0.141029,0.23783,0.268871,0.206789,0.112851,0.103197,0.122505,0.090639,0.07333,0.107949
DMHDS0287,0.133067,0.284359,-0.018225,0.244571,0.310546,0.178596,0.210203,0.301479,0.118926,0.245145,0.272047,0.218244
DMHDS0237,0.139257,0.07515,0.203365,-0.262968,-0.355554,-0.170381,0.036595,-0.032661,0.105851,-0.244733,-0.275546,-0.21392
DMHDS0244,-0.01802,0.081458,-0.117499,-0.072015,0.006484,-0.150513,0.069269,0.199553,-0.061015,0.089681,0.162019,0.017343
DMHDS0400,0.29838,0.044467,0.552292,0.511239,0.504015,0.518463,0.303065,0.162221,0.443909,0.384946,0.328435,0.441457
DMHDS0385,0.220131,-0.0111,0.451361,0.347246,0.330569,0.363922,0.205343,0.124182,0.286503,0.348259,0.395827,0.300691
DMHDS0361,0.219282,0.147957,0.290608,0.376784,0.282834,0.470734,0.25979,0.153035,0.366545,0.29724,0.163296,0.431185
DMHDS0274,0.306317,0.417106,0.195528,0.188266,0.071549,0.304982,0.307371,0.366136,0.248606,0.191901,0.162838,0.220965
DMHDS0288,0.473471,0.271274,0.675669,0.297612,0.405705,0.18952,0.288678,0.146997,0.430358,0.185003,0.222493,0.147514
DMHDS0369,0.222108,0.222351,0.221865,0.359987,0.372046,0.347928,0.180003,0.237567,0.122438,0.348353,0.337775,0.358931
DMHDS0314,0.009974,-0.183721,0.203669,0.164334,0.020158,0.308509,0.08717,-0.037806,0.212146,0.205972,0.118494,0.29345
DMHDS0391,0.24742,0.47609,0.01875,0.378983,0.462504,0.295462,0.105454,0.191278,0.01963,0.221026,0.27408,0.167973
DMHDS0235,0.727634,0.558821,0.896448,0.639839,0.650805,0.628873,0.422182,0.390667,0.453697,0.400292,0.429239,0.371345
DMHDS0363,-0.09387,-0.103091,-0.084649,0.246381,0.161746,0.331016,-0.0409,-0.066588,-0.015212,0.115855,0.00769,0.224019
DMHDS0368,0.367164,0.013774,0.720553,0.520791,0.317082,0.724499,0.194742,-0.007718,0.397201,0.380273,0.268014,0.492533
DMHDS0259,-0.095832,-0.021723,-0.169942,-0.033505,0.014957,-0.081967,-0.156092,-0.114318,-0.197867,-0.040263,-0.015511,-0.065015
DMHDS0236,0.365715,0.277262,0.454169,0.122004,-0.052423,0.296431,0.216734,0.081519,0.351949,0.178576,0.051972,0.305181
DMHDS0387,0.114871,-0.01112,0.240863,0.04241,-0.055399,0.140219,0.032007,-0.012984,0.076998,-0.053885,-0.15305,0.04528
DMHDS0330,0.440883,0.273082,0.608684,0.258168,0.022723,0.493613,0.390341,0.207474,0.573208,0.24628,0.138354,0.354206
DMHDS0317,0.008384,-0.08029,0.097058,0.006386,-0.118277,0.131048,-0.062092,-0.096755,-0.02743,0.000212,-0.071138,0.071562
DMHDS0344,-0.010949,-0.15403,0.132133,0.032789,0.016058,0.04952,-0.083349,-0.131254,-0.035443,-0.05683,-0.062106,-0.051553
DMHDS0406,0.618429,0.652587,0.584271,0.312866,0.312962,0.312771,0.662944,0.65911,0.666779,0.48295,0.453286,0.512614
DMHDS0778,0.394302,0.371889,0.416716,0.105449,-0.012324,0.223223,0.232832,0.284458,0.181207,0.225473,0.150904,0.300042
DMHDS0390,-0.001903,-0.032725,0.028919,-0.029484,-0.003429,-0.05554,0.035435,0.008933,0.061937,0.053752,0.016801,0.090704
DMHDS0264,0.338309,0.365076,0.311541,0.251432,0.361982,0.140882,0.127439,0.11024,0.144639,0.05453,0.109922,-0.000862
DMHDS1021,0.280538,0.233085,0.327992,0.658534,0.619836,0.697233,0.118549,0.160578,0.076521,0.448078,0.385653,0.510504
DMHDS1230,0.033958,-0.095689,0.163605,0.360738,0.21913,0.502345,0.026916,-0.09725,0.151083,0.252754,0.085826,0.419682
DMHDS20299,0.312903,0.004855,0.620951,0.277572,-0.001726,0.556869,0.385413,0.177737,0.593089,0.271093,-0.021942,0.564127
DMHDS1133,0.078832,0.144586,0.013077,0.168091,-0.139152,0.475334,0.096536,0.102451,0.090621,0.13299,-0.067689,0.333668
DMHDS20482,0.026666,-0.000133,0.053466,0.113413,0.053169,0.173656,0.102837,0.010538,0.195135,0.094679,0.022625,0.166732
DMHDS0784,0.091763,0.115442,0.068083,-0.094615,-0.059491,-0.129739,-0.009443,0.029771,-0.048656,-0.104701,-0.058744,-0.150658
DMHDS0349,0.331593,0.245967,0.417219,0.063961,-0.068776,0.196697,0.27547,0.138662,0.412277,0.138804,-0.007091,0.2847
DMHDS0918,0.147691,0.113949,0.181433,-0.036298,-0.039984,-0.032612,0.08337,0.050008,0.116731,-0.080739,-0.091815,-0.069662
DMHDS20399,0.084079,-0.093188,0.261346,0.303543,0.182144,0.424943,0.242219,-0.034393,0.518831,0.258894,0.041267,0.476521
DMHDS0702,0.141282,-0.12467,0.407234,0.267969,0.031962,0.503976,0.089746,-0.031308,0.2108,0.325922,0.102446,0.549399
DMHDS0299,0.225795,0.155588,0.296002,0.227017,0.075299,0.378735,0.230988,0.128486,0.33349,0.200112,0.048017,0.352206
DMHDS0717,0.216847,0.126542,0.307152,0.047623,-0.102093,0.19734,0.14408,0.080268,0.207891,0.096119,-0.039831,0.232068
DMHDS0774,0.297813,0.267947,0.327678,0.248844,0.214879,0.28281,0.126386,0.076907,0.175865,0.142782,0.052431,0.233133
DMHDS0226,0.208453,0.082277,0.334629,0.562677,0.57189,0.553465,0.27386,0.15726,0.39046,0.343148,0.313837,0.372459
DMHDS0540,0.112849,-0.077548,0.303247,0.193405,0.071621,0.315189,0.198993,0.007816,0.39017,0.240153,0.046881,0.433425
DMHDS20349,0.154329,0.177622,0.131036,0.229179,0.1538,0.304558,0.305122,0.406304,0.203941,0.229787,0.195474,0.2641
DMHDS0903,-0.109002,-0.102332,-0.115672,-0.121024,-0.280223,0.038175,0.018821,0.018792,0.018849,-0.031709,-0.145652,0.082234
DMHDS0399,0.119064,-0.175816,0.413944,0.093666,0.043671,0.143661,0.055024,-0.055132,0.16518,-0.002429,-0.093262,0.088404
DMHDS20223,0.24693,0.273322,0.220538,0.039307,0.181057,-0.102443,0.249676,0.17056,0.328793,0.060611,0.06787,0.053351
DMHDS0223,-0.282561,-0.527207,-0.037916,-0.281906,-0.543681,-0.020132,-0.334185,-0.623401,-0.044968,-0.092797,-0.318445,0.132852
DMHDS0205,0.124258,0.140757,0.107759,0.148708,0.242727,0.054689,0.048647,0.108897,-0.011604,0.120353,0.170171,0.070536
DMHDS0500,0.08434,0.005126,0.163554,0.10397,0.061435,0.146504,0.072176,0.080325,0.064027,0.034436,0.012717,0.056154
DMHDS1221,0.20752,0.216373,0.198668,0.037617,0.065687,0.009548,0.147256,0.10832,0.186193,-0.006232,-0.0078,-0.004663
DMHDS20702,0.147409,-0.077484,0.372302,0.171545,0.044625,0.298466,0.270543,0.015071,0.526014,0.346229,0.19248,0.499978
DMHDS20540,0.080375,0.081724,0.079026,0.139349,0.131586,0.147113,0.10399,0.089027,0.118953,0.19414,0.11284,0.27544
DMHDS21133,0.193029,0.084035,0.302023,0.136792,-0.010426,0.284011,0.275182,0.135643,0.414722,0.259454,0.125379,0.393529
DMHDS20774,0.470882,0.244539,0.697226,0.359299,0.184159,0.534439,0.331718,0.169075,0.494361,0.364668,0.176117,0.55322
DMHDS20918,0.153946,0.042246,0.265645,0.331669,0.225912,0.437425,0.119492,0.009059,0.229926,0.131742,0.023737,0.239747
DMHDS21230,0.491632,0.361359,0.621905,0.376443,0.136202,0.616683,0.289246,0.145766,0.432725,0.242449,0.015765,0.469134
DMHDS20717,0.22524,0.142459,0.308022,0.041836,-0.070329,0.154001,0.127994,0.033107,0.222881,0.117733,0.041564,0.193902
DMHDS20903,0.173089,0.08304,0.263137,0.076081,-0.021806,0.173968,0.061305,-0.048144,0.170754,0.011669,-0.085187,0.108526
DMHDS21021,0.360482,0.384601,0.336362,0.727321,0.307259,1.147382,0.296428,0.410024,0.182832,0.383959,0.179318,0.5886
DMHDS21181,-0.202897,-0.360054,-0.04574,-0.089963,-0.166884,-0.013043,-0.160032,-0.259196,-0.060868,-0.047738,-0.122872,0.027396
DMHDS21221,0.413663,0.366472,0.460854,0.192243,0.085493,0.298992,0.420471,0.354274,0.486668,0.16936,0.054743,0.283978
DMHDS20500,0.595013,0.566418,0.623608,0.586161,0.653044,0.519278,0.374597,0.323125,0.42607,0.452318,0.411086,0.49355
DMHDS20784,0.132825,0.084508,0.181141,0.105987,0.068116,0.143858,0.083293,0.013508,0.153078,0.058058,0.040552,0.075564
DMHDS0305,0.220926,0.182821,0.25903,0.263249,0.136824,0.389674,0.335281,0.257715,0.412846,0.180655,0.016264,0.345045
DMHDS0364,-0.021811,0.053905,-0.097528,0.040406,0.146333,-0.065521,0.036874,0.069818,0.003931,0.092303,0.107513,0.077093
DMHDS0373,0.231892,0.153606,0.310178,0.363609,0.399591,0.327628,0.122089,0.076437,0.167741,0.187366,0.136579,0.238153
DMHDS0397,0.057711,0.079938,0.035484,0.451981,0.636492,0.26747,0.062252,0.035023,0.089482,0.343556,0.39266,0.294452
DMHDS0398,0.462237,0.273422,0.651051,0.214893,-0.103329,0.533116,0.385504,0.155677,0.61533,0.220736,-0.005681,0.447152
DMHDS0448,-0.092021,-0.041836,-0.142205,-0.103043,-0.066512,-0.139575,0.010062,-0.001869,0.021994,-0.0111,-0.003823,-0.018378
DMHDS0426,0.306151,0.261744,0.350559,-0.256799,-0.449222,-0.064375,0.259215,0.304081,0.214349,-0.024804,-0.09999,0.050382
DMHDS0529,0.459319,0.240315,0.678322,0.193983,0.137828,0.250139,0.394832,0.13563,0.654033,0.176028,0.120734,0.231322
DMHDS0442,0.519585,0.699185,0.339984,0.583199,0.592781,0.573617,0.266256,0.2481,0.284413,0.345079,0.340728,0.349429
DMHDS0549,-0.13483,-0.149629,-0.12003,-0.072808,-0.112376,-0.03324,-0.109746,-0.196353,-0.023139,-0.116028,-0.133645,-0.098411
DMHDS0461,0.139464,0.058157,0.220772,-0.018526,-0.055918,0.018865,0.061205,0.068424,0.053986,0.122491,0.15299,0.091992
DMHDS0575,0.111622,0.069695,0.15355,0.124522,0.161671,0.087374,0.200099,0.112021,0.288176,0.171074,0.149342,0.192807
DMHDS0672,0.214635,0.219676,0.209593,0.157399,0.002319,0.312479,0.043475,0.056458,0.030492,0.058355,-0.050145,0.166856
DMHDS0563,0.097425,0.111848,0.083002,-0.135124,-0.163206,-0.107042,0.283302,0.289305,0.2773,0.106654,0.04338,0.169929
DMHDS0627,0.015955,-0.022659,0.054568,0.002532,0.049379,-0.044315,0.077926,0.011814,0.144037,0.082546,0.043897,0.121195
DMHDS0634,0.670844,0.393798,0.947891,0.535853,0.417441,0.654264,0.471492,0.170548,0.772437,0.489875,0.237194,0.742555
DMHDS0735,0.564501,0.599374,0.529627,0.284905,0.221221,0.34859,0.40012,0.435171,0.36507,0.2443,0.211654,0.276946
DMHDS0737,0.27516,0.206375,0.343944,0.418208,0.291619,0.544797,0.313953,0.244652,0.383253,0.285148,0.160119,0.410178
DMHDS0673,0.282695,0.365875,0.199515,0.165679,0.105385,0.225973,0.140683,0.146111,0.135255,0.19048,0.039924,0.341036
DMHDS0747,0.081073,0.063644,0.098502,0.071613,0.022387,0.120838,0.172405,0.093493,0.251318,0.216315,-0.007621,0.440252
DMHDS0754,-0.095367,-0.156207,-0.034527,-0.036079,-0.081455,0.009296,0.013281,0.031622,-0.005061,0.025974,0.021646,0.030302
DMHDS0765,0.006478,-0.087322,0.100277,-0.07214,-0.143336,-0.000943,0.073177,0.043155,0.103198,-0.039679,-0.115141,0.035783
DMHDS0796,0.149696,0.015209,0.284182,0.14543,0.025791,0.265068,0.112026,-0.035093,0.259145,0.13815,-0.000678,0.276978
DMHDS0771,0.160854,0.086247,0.235462,0.20507,0.181799,0.228341,0.142726,0.061368,0.224084,0.247432,0.218792,0.276072
DMHDS0799,0.228752,0.214104,0.2434,0.087618,0.035475,0.13976,0.237421,0.192093,0.28275,0.109028,0.043471,0.174585
DMHDS0803,0.349387,0.201674,0.4971,0.374832,0.38829,0.361374,0.274207,0.235861,0.312553,0.247917,0.248086,0.247749
DMHDS0818,0.215931,-0.014396,0.446259,0.248607,0.094662,0.402553,0.073555,-0.114634,0.261743,0.049765,-0.066755,0.166285
DMHDS0798,0.084798,0.017481,0.152115,0.328873,0.39686,0.260886,0.161314,0.153486,0.169142,0.10844,0.040373,0.176507
DMHDS0797,0.378238,0.345881,0.410596,0.55078,0.441973,0.659587,0.294318,0.255551,0.333086,0.361525,0.21392,0.509131
DMHDS0826,0.232448,0.04078,0.424116,0.218798,-0.01538,0.452977,0.210651,0.077731,0.34357,0.258202,0.040974,0.47543
DMHDS0850,0.491264,0.345083,0.637445,0.254102,0.231698,0.276506,0.343447,0.286642,0.400252,0.335206,0.367276,0.303136
DMHDS0859,0.371449,0.302299,0.440599,0.060341,-0.042157,0.162839,0.287745,0.152118,0.423371,0.113571,-0.044778,0.27192
DMHDS0865,0.190191,0.003761,0.37662,0.22686,0.130243,0.323476,0.192211,0.011738,0.372685,0.255523,0.047832,0.463215
DMHDS0874,0.316905,0.120041,0.513768,0.058043,-0.008101,0.124186,0.229377,0.062332,0.396423,0.218067,0.061864,0.37427
DMHDS0916,-0.159497,-0.605787,0.286793,0.000644,-0.113434,0.114723,-0.115079,-0.21372,-0.016438,0.039604,0.076807,0.002401
DMHDS0964,0.406952,0.260149,0.553755,0.205352,0.109315,0.301389,0.268021,0.118929,0.417113,0.172364,0.049813,0.294915
DMHDS0893,-0.157461,-0.281752,-0.03317,-0.11986,-0.039326,-0.200394,-0.007163,-0.059994,0.045667,-0.048134,-0.076416,-0.019853
DMHDS0900,0.202254,0.293016,0.111492,0.308669,0.377571,0.239768,0.131147,0.166898,0.095395,0.191125,0.246113,0.136138
DMHDS0974,-0.384552,-0.439341,-0.329763,-0.311948,-0.573138,-0.050758,-0.304303,-0.279696,-0.328909,-0.3754,-0.48512,-0.26568
DMHDS1037,0.510655,0.594375,0.426936,0.389551,0.508176,0.270925,0.227906,0.274787,0.181025,0.273003,0.320905,0.225102
DMHDS0991,0.276919,0.282537,0.271301,-0.096124,-0.206893,0.014644,0.161833,0.146871,0.176795,0.003825,-0.042195,0.049845
DMHDS1053,0.109906,0.102148,0.117663,-0.211904,-0.149823,-0.273986,0.086756,0.039655,0.133857,0.07347,0.076353,0.070588
DMHDS1060,0.099504,0.017077,0.181931,0.306329,0.314103,0.298555,0.005532,-0.020701,0.031764,0.1585,0.162467,0.154534
DMHDS1055,-0.04049,-0.31265,0.23167,0.023595,0.003776,0.043415,0.185095,0.01005,0.360139,0.293757,0.20608,0.381434
DMHDS1114,-0.246389,-0.402646,-0.090132,0.051062,-0.077926,0.18005,-0.085284,-0.163917,-0.006651,0.093908,-0.026974,0.214791
DMHDS0987,0.1557,0.128931,0.182469,0.215911,0.059979,0.371843,0.115691,0.112049,0.119333,0.043269,-0.04614,0.132678
DMHDS1106,0.198661,0.172007,0.225314,0.590361,0.274958,0.905764,0.244444,0.283001,0.205887,0.305411,0.165531,0.44529
DMHDS1209,0.547948,0.213813,0.882082,0.09722,0.093026,0.101414,0.313921,0.056699,0.571142,0.196852,0.085278,0.308427
DMHDS1182,0.29414,0.179432,0.408848,0.36358,0.15883,0.568329,0.246023,0.140068,0.351978,0.334276,0.237225,0.431328
DMHDS1197,-0.218693,0.02443,-0.461816,-0.004787,0.043474,-0.053049,-0.037349,0.053741,-0.128438,0.056152,0.133627,-0.021323
DMHDS1211,0.319397,0.149322,0.489472,0.003922,-0.188719,0.196564,0.133326,-0.06524,0.331891,0.092964,-0.079449,0.265377
DMHDS0512,0.052504,-0.021431,0.12644,0.067767,-0.049219,0.184754,0.115384,-0.02297,0.253737,0.158614,-0.068547,0.385775
DMHDS0464,0.319703,0.117609,0.521797,0.302769,0.075917,0.52962,0.213285,0.048351,0.378219,0.271203,0.151077,0.39133
DMHDS0856,0.581229,0.427411,0.735046,0.430285,0.372874,0.487696,0.460658,0.351903,0.569414,0.412864,0.316954,0.508774
DMHDS0498,-0.059273,-0.157295,0.038748,-0.080778,-0.053336,-0.10822,0.005136,-0.067014,0.077287,0.026583,0.027745,0.025421
DMHDS1191,0.262129,0.234649,0.289609,0.281815,0.316266,0.247364,0.249083,0.207998,0.290167,0.197593,0.242489,0.152697
DMHDS0871,0.588553,0.089037,1.088068,0.390733,0.318281,0.463185,0.460067,-0.013299,0.933433,0.370266,0.188533,0.552
DMHDS0908,-0.097982,-0.196473,0.000509,-0.065403,-0.200575,0.069769,0.029823,-0.04577,0.105415,-0.128737,-0.160957,-0.096517
DMHDS0961,0.252781,0.007363,0.4982,0.355903,0.206755,0.505051,0.249965,0.135111,0.364819,0.411667,0.274422,0.548912
DMHDS1109,0.185033,0.164659,0.205407,0.159199,0.025049,0.293349,0.123377,-0.001596,0.248349,0.068076,-0.111377,0.247529
DMHDS0616,-0.003441,-0.183085,0.176203,-0.163232,-0.162577,-0.163886,-0.070576,-0.125862,-0.015289,-0.136933,-0.123625,-0.150242
DMHDS1225,0.48646,0.424746,0.548174,0.402497,0.414915,0.39008,0.027634,-0.120424,0.175692,0.322031,0.319183,0.324879
